CRN,Course #,Sc,Title,Units,CAP,Enr,Instructor,Days,Times,Room,Comments/Prereq.,Perm Only
Clear CRN Filter,Clear Course # Filter,Clear Sc Filter,Clear Title Filter,Clear Units Filter,Clear CAP Filter,Clear Enr Filter,Clear Instructor Filter,Clear Days Filter,Clear Times Filter,Clear Room Filter,Clear Comments/Prereq. Filter,Clear Perm Only Filter
33987,MFAV 3000,1,RESIDENCY I GRAD CRITICAL ST,Var,30,12,Ben Sloat,-,-,-,GRADED PASS/FAIL; $500 FEE; SPS-MFA ONLY; ZERO UNITS BY DEFAULT; MUST CHOOSE 1 UNIT DURING REG; IN-PERSON 1/3/25-1/12/25,N
33542,MFAV 3001,1,GRAD IND STUDIO PROJ I,1.50,30,12,Ben Sloat,-,-,ONLINE,SPS-MFA ONLY; GRADED PASS/FAIL,N
33543,MFAV 3002,1,GRAD INDEPENDENT RES PROJ I,1.50,30,12,Ben Sloat,-,-,ONLINE,SPS-MFA ONLY; GRADED PASS/FAIL,N
33988,MFAV 3100,1,RESIDENCY II GRAD CRITICAL ST,Var,30,5,Ben Sloat,-,-,-,GRADED PASS/FAIL; $500 FEE; P=MFAV 3000; SPS-MFA ONLY; ZERO UNITS BY DEFAULT; MUST CHOOSE 1 UNIT DURING REG; IN-PERSON 1/3/25-1/12/25,N
33544,MFAV 3101,1,GRAD IND STUDIO PROJ II,1.50,30,5,Ben Sloat,-,-,ONLINE,P=MFAV 3001; GRADED PASS/FAIL,N
33546,MFAV 3102,1,GRAD INDEPENDENT RES PROJ II,1.50,30,5,Ben Sloat,-,-,ONLINE,P=MFAV 3002; GRADED PASS/FAIL,N
33989,MFAV 3200,1,RESIDENCY III GRAD CRITICAL ST,Var,30,5,Ben Sloat,-,-,-,GRADED PASS/FAIL;$500 FEE; P=MFAV 3100; SPS-MFA ONLY; ZERO UNITS BY DEFAULT; MUST CHOOSE 1 UNIT DURING REG; IN-PERSON 1/3/25-1/12/25,N
33656,MFAV 3201,1,GRAD IND STUDIO PROJ III,1.50,30,5,Ben Sloat,-,-,ONLINE,P=MFAV 3101; GRADED PASS/FAIL,N
33657,MFAV 3202,1,GRAD INDEPENDENT RES PROJ III,1.50,30,5,Ben Sloat,-,-,ONLINE,P=MFAV 3102; GRADED PASS/FAIL,N
33990,MFAV 3300,1,RESIDENCY IV GRAD CRITICAL ST,Var,30,3,Ben Sloat,-,-,-,GRADED PASS/FAIL;$500 FEE; P=MFAV 3200; SPS-MFA ONLY; ZERO UNITS BY DEFAULT; MUST CHOOSE 1 UNIT DURING REG; IN-PERSON 1/3/25-1/12/25,N
33992,MFAV 3301,1,GRAD IND STUDIO PROJ IV,1.50,30,3,Ben Sloat,-,-,ONLINE,P=MFAV 3201;GRADED PASS/FAIL,N
33993,MFAV 3302,1,GRAD INDEPENDENT RES PROJ IV,1.50,30,3,Ben Sloat,-,-,ONLINE,P=MFAV 3202;GRADED PASS/FAIL,N
33991,MFAV 3999,1,RESIDENCY V: FINAL THESIS,Var,30,5,Ben Sloat,-,-,-,GRADED PASS/FAIL;$500 FEE;P=MFAV 3300; SPS-MFA ONLY; ZERO UNITS BY DEFAULT; MUST CHOOSE 1 UNIT DURING REG IF APPR'D; IN-PERSON 1/3/25-1/12/25,N
33911,MPA 3010,1,FOUNDATIONS PUB SERV & ADMIN,1.00,30,9,Jon Zlotnik,R,06:30 PM - 09:30 PM,JC215,,N
33912,MPA 3011,1,SEM PUB ADM & NONPROFIT MGMT,0.50,30,27,Mary Piecewicz,-,-,-,IN PERSON MEET'GS REQUIRED AS SCHEDULED WITH FACULTY,N
33334,MPA 3040,1,HEALTH CARE ADMINISTRATION,1.00,30,4,Kelly Dolan,R,06:00 PM - 09:00 PM,B124,SOME ONLINE MEET'GS,N
32574,MPA 3050,1,CULTURAL COMPETENCE,1.00,25,10,Paula Martin,T,06:30 PM - 09:30 PM,ONLINE,,N
33234,MPA 3060,1,SOCIAL AWARENESS ENTREP & BUS,1.00,25,9,Laury Lucien,T,06:30 PM - 09:30 PM,ONLINE,,N
31315,MPA 3100,1,ISSUES & CASES IN PUBLIC ADMIN,1.00,20,5,Neil Cohen,M,06:30 PM - 09:30 PM,ONLINE,M 6:30-9:30 SYNCHRONOUS MEET'GS AS SCHEDULED BY INSTRUCTOR,N
30812,MPA 3120,1,ORGANIZA BEHAVIOR & LEADERSHIP,1.00,30,12,David Hofstetter,-,-,ONLINE,,N
32575,MPA 3170,1,CHANGE MANAGEMENT,1.00,30,9,Joseph Early,R,06:30 PM - 09:30 PM,TC112,SOME ONLINE MEET'GS,N
33913,MPA 3200,1,LEADING TEAMS,1.00,30,13,Lilo Altali,R,06:30 PM - 09:30 PM,JC204,SOME ONLINE MEET'GS,N
34015,MPA 3210,1,CRISIS MANAGEMENT,1.00,30,17,Anthony Berry,-,-,ONLINE,MPA SLP STUDENTS ONLY,N
33916,MPA 3540,1,NON-PROFIT MANAGEMENT,1.00,30,15,Stephanie Marchetti,-,-,ONLINE,,N
31951,MPA 3820,1,LABOR RELAT & COLL BARGAINING,1.00,30,12,Darryll McCall,W,06:30 PM - 09:30 PM,ONLINE,,N
30949,MPA 3900,1,RESEARCH METHODS & STRATEGIES,0.50,25,6,Mary Piecewicz,-,-,ONLINE,MPA SLP STUDENTS ONLY,N
33917,MPA 3901,1,RESEARCH DESIGN & METHODS,0.50,30,20,Mary Piecewicz,-,-,-,IN PERSON MEET'GS REQUIRED AS SCHEDULED WITH FACULTY,N
30976,MPA 3999,1,CAPSTONE PRACTICUM,1.00,25,23,Joseph O'Brien,-,-,-,"MPA ONLY: IN-PERSON MEETINGS REQUIRED, AS SCHEDULED WITH FACULTY",N
31247,MPA 3999,2,CAPSTONE PRACTICUM,0.50,25,11,Mary Piecewicz,-,-,-,MPA SLP STUDENTS ONLY,N
33918,MSC 3114,1,CRISIS COMMUNICATION,1.00,30,14,Darryll McCall,M,06:30 PM - 09:30 PM,ONLINE,,N
33241,MSC 3212,1,MARKETING & COMM STRATEGIES,1.00,30,16,Heath Oikle,R,06:30 PM - 09:30 PM,JC217,SOME ONLINE MEET'GS,N
33237,MSC 3218,1,BRAND JOURNALISM,1.00,30,18,Jonathan Leiberman,T,06:30 PM - 09:30 PM,ONLINE,,N
33238,MSC 3220,1,EFFECTIVE COMMUNICATION,1.00,30,6,Tony Simollardes,W,06:30 PM - 09:30 PM,ASEC304,,N
33242,MSC 3999,1,CAPSTONE PRACTICUM,1.00,25,12,Julie Frechette,-,-,-,"MSPC/MSC ONLY; IN-PERSON MEETINGS REQUIRED, AS SCHEDULED WITH FACULTY",N
33919,MSCS 3010,1,INTRO TO OBJECT-ORIENTED PROG,1.00,35,5,Kayed Akkawi,-,-,ONLINE,,Y
33216,MSCS 3021,1,HUMAN COMPUTER INTERACTION,1.00,60,41,Atef Bader,W,06:30 PM - 09:30 PM,S121,MSCS ONLY; SOME ONLINE MEET'GS,N
33379,MSCS 3027,1,SOCIAL INFORMATICS,1.00,60,39,Atef Bader,T,06:30 PM - 09:30 PM,S120,MSCS ONLY,N
33921,MSCS 3030,1,ALGORITHMS & DATA STRUCTURES,1.00,35,4,Rand Alfaris,M,06:30 PM - 09:30 PM,JC106,,Y
32584,MSCS 3045,1,APPLIED DATA ANALYTICS,1.00,35,34,Salem Othman,S,09:00 AM - 11:55 AM,JC104,MSCS ONLY; SOME ONLINE MEET'GS,N
32835,MSCS 3050,1,SOFTWARE ENGINEERING,1.00,30,30,Pawan Gupta,S,12:00 PM - 02:55 PM,JC102,MSCS ONLY,N
31930,MSCS 3055,1,DESIGN & ANALYSIS ALGORITHMS,1.00,60,50,Rand Alfaris,R,06:30 PM - 09:30 PM,S120,MSCS ONLY,N
32581,MSCS 3070,1,SURVEY OF SYS & PROGRAM'G LANG,1.00,35,32,Hassan Musafer,T,06:30 PM - 09:30 PM,S321,,N
33922,MSCS 3290,1,ADV SOFTWARE ENG CONCEPTS,1.00,35,15,Firas Khasawneh,M,06:30 PM - 09:30 PM,ONLINE,P=MSCS 3254; CONTACT ADVISOR FOR PERM,N
32585,MSCS 3999,1,CAPSTONE,1.00,60,72,Sufyan Almajali,W,06:30 PM - 09:30 PM,S120,"P=MSCS 3050, & 3055 & 3070; MSCS ONLY; SOME ONLINE MEET'GS",N
34078,MSCS 3999,2,CAPSTONE,1.00,30,43,Larz White,W,06:30 PM - 09:30 PM,JC218,"P=MSCS 3050, & 3055 & 3070; MSCS ONLY; SOME ONLINE MEET'GS",N
34013,MSDA 3020,1,MATH FOUNDATION DATA ANALYTICS,1.00,30,4,Dennis Frazier,T,06:30 PM - 09:30 PM,JC206,,Y
31255,MSDA 3040,1,FUNDAMENTALS DATA ENGINEERING,1.00,30,29,Shasha Yu,T,06:30 PM - 09:30 PM,JC118,P=MSIT 3860; MSDA & MSCS ONLY; SOME ONLINE MEET'GS; WINDOWS PC REQUIRED,N
33413,MSDA 3040,2,FUNDAMENTALS DATA ENGINEERING,1.00,30,19,Shasha Yu,R,06:30 PM - 09:30 PM,TC111,P=MSIT 3860; MSDA ONLY; SOME ONLINE MEET'GS; WINDOWS PC REQUIRED,N
33243,MSDA 3045,1,MATHEMATICAL STATISTICS,1.00,30,10,Dennis Frazier,W,06:30 PM - 09:30 PM,JC102,MSDA ONLY,N
33363,MSDA 3050,1,APPLIED MACHINE LEARNING,1.00,30,31,Hassan Musafer,M,06:30 PM - 09:30 PM,MACD002,P=MSIT 3090 & MSDA 3055; MSDA & MSCS ONLY,N
32590,MSDA 3050,2,APPLIED MACHINE LEARNING,1.00,30,31,Khald Aboalayon,W,06:30 PM - 09:30 PM,JC118,P=MSIT 3090 & MSDA 3055; MSDA & MSCS ONLY,N
34200,MSDA 3050,3,APPLIED MACHINE LEARNING,1.00,30,13,Emre Tokgoz,S,10:00 AM - 01:00 PM,ONLINE,P=MSIT 3090 & MSDA 3055; MSDA & MSCS ONLY,N
34017,MSDA 3051,1,APPL'D NATURAL LANG PROC (NLP),1.00,30,5,Fatema Nafa,F,09:00 AM - 11:50 AM,ONLINE,P=MSDA 3050,N
32722,MSDA 3055,1,LINEAR REGRESS'N & TIME SERIES,1.00,30,27,Aghil Alaee Khangha,M,06:30 PM - 09:30 PM,JC103,P=MSDA 3045,N
32138,MSDA 3060,1,DATA VISUALIZ'TN & STORY TEL'G,1.00,30,25,Andrea Jaskulski,T,06:30 PM - 09:30 PM,JC204,MSDA & MSCS ONLY,N
33298,MSDA 3060,2,DATA VISUALIZ'TN & STORY TEL'G,1.00,30,13,Isabel Aucca Farfan,R,06:30 PM - 09:30 PM,JC206,MSDA & MSCS ONLY; SOME ONLINE MEE'TGS,N
33468,MSDA 3060,3,DATA VISUALIZ'TN & STORY TEL'G,1.00,30,31,Kayed Akkawi,-,-,ONLINE,MSDA & MSCS ONLY,N
33923,MSDA 3090,1,PYTHON FOR DATA ANALYTICS,1.00,30,24,Salem Othman,S,12:00 PM - 03:00 PM,JC104,"MSCS, MSDA & MSIT ONLY; SOME ONLINE MEET'GS",N
33249,MSDA 3100,1,APPLIED DEEP LEARNING,1.00,30,27,Ahmed ElSayed,R,06:30 PM - 09:30 PM,JC106,P=MSDA 3050; MSCS & MSDA ONLY; SOME ONLINE MEET'GS,N
31257,MSDA 3999,1,CAPSTONE PRACTICUM,1.00,25,15,Khald Aboalayon,-,-,-,"P=MSDA 3050 & 3060; MSDA ONLY; IN-PERSON MEETINGS REQUIRED, AS SCHEDULED BY FACULTY",N
33924,MSEA 3010,1,THE BUSINESS OF ESPORTS,1.00,20,4,Anthony D'Onofrio,-,-,ONLINE,,N
33925,MSEA 3120,1,SPORTS SPONSORSHIP,1.00,20,6,JJ Alberts,M,06:30 PM - 09:30 PM,G104,SOME ONLINE MEET'GS,N
33235,MSEA 3130,1,SPORTS FINANCE,1.00,20,6,Patrick Leary,W,06:30 PM - 09:30 PM,G104,SOME ONLINE MEET'GS,N
33927,MSEA 3999,1,CAPSTONE,1.00,20,5,JJ Alberts,-,-,ONLINE,"SOME MEET'GS REQUIRED, AS SCHEDULED W/FACULTY",N
34008,MSIT 3000,1,IT FOUNDATIONS,1.00,60,38,Matthew Farrell,M,06:30 PM - 09:30 PM,JC001,,Y
32178,MSIT 3050,1,INFO SYSTEMS ANALYSIS & DESIGN,1.00,30,28,Christina McCarthy,T,06:30 PM - 09:30 PM,ES303,,N
34009,MSIT 3101,1,INDUSTRY/CREATIVE APP GEN AI,1.00,30,31,Kevin Keller,W,06:30 PM - 09:30 PM,ONLINE,P=MSIT 3000,N
34103,MSIT 3101,2,INDUSTRY/CREATIVE APP GEN AI,1.00,30,13,Kevin Keller,R,06:30 PM - 09:30 PM,ONLINE,P=MSIT 3000,N
33253,MSIT 3110,1,CYBER SECURITY FUNDAMENTALS,1.00,30,30,Harshita Sharma,R,06:30 PM - 09:30 PM,ES303,,N
34014,MSIT 3150,1,SECURITY ARCHITECTURE & DESIGN,1.00,30,9,Scott McCarthy,T,06:00 PM - 09:00 PM,OFFCAM,HEALTH IT ARCHITECTURES STUDENTS ONLY;P=MSIT 3110,N
34010,MSIT 3202,1,DIGITAL PROD MGMT/DATA-DRIVEN,1.00,30,22,Kevin Keller,T,06:30 PM - 09:30 PM,ONLINE,P=MSIT 3000,N
31271,MSIT 3250,1,NETWORK ARCHITECTURE & DESIGN,1.00,60,37,Peter Wyner,M,06:30 PM - 09:30 PM,S120,SOME ONLINE MEET'GS,N
34011,MSIT 3300,1,HEALTHCARE TECH FOUNDATIONS,1.00,30,24,Amy Molten,M,06:30 PM - 09:30 PM,JC120,P=MSIT 3000,N
34012,MSIT 3301,1,DIGITAL HEALTH APPL & ARCH,1.00,30,29,Scott Nelson,W,06:30 PM - 09:30 PM,JC106,P=MSIT 3000,N
30811,MSIT 3350,1,DATA MINING WITH SPLUNK,1.00,30,34,Dean Cascione,R,06:30 PM - 09:30 PM,JC102,MSDA ONLY,N
34090,MSIT 3410,1,IT STRATEGY LEADERSHIP,1.00,30,28,Enrique Laso Sanz,W,06:30 PM - 09:30 PM,JC120,,N
33928,MSIT 3470,1,CLOUD COMPUTING,1.00,30,31,Venkat Teja Peram,T,06:30 PM - 09:30 PM,MACD002,P=MSIT 3050,N
34137,MSIT 3470,2,CLOUD COMPUTING,1.00,30,30,Scott Nelson,M,06:30 PM - 09:30 PM,JC217,P=MSIT 3050; SOME ONLINE MEET'GS,N
32609,MSIT 3780,1,INTRO INCIDENT RESP/DIGITAL FO,1.00,60,60,Scott McCarthy,R,06:30 PM - 09:30 PM,JC001,P=MSIT 3110,N
31251,MSIT 3820,1,BUSINESS INTELLIGENCE,1.00,30,28,Meredith Corey,T,06:30 PM - 09:30 PM,JC102,SOME ONLINE MEET'GS,N
32089,MSIT 3840,1,IT PROJECT MGMT FUNDAMENTALS,1.00,30,14,Paul Ledoux,R,06:30 PM - 09:30 PM,JC118,MSIT STUDENTS ONLY,N
34077,MSIT 3840,2,IT PROJECT MGMT FUNDAMENTALS,1.00,30,5,Paul Ledoux,F,01:25 PM - 04:25 PM,JC206,MSIT STUDENTS ONLY,N
32153,MSIT 3860,1,DATA MGMT FOR INFO TECH,1.00,30,31,Andrea Jaskulski,M,06:30 PM - 09:30 PM,JC215,,N
34219,MSIT 3860,2,DATA MGMT FOR INFO TECH,1.00,30,25,Taher Al Sharif,T,06:30 PM - 09:30 PM,JC106,,N
30977,MSIT 3999,1,CAPSTONE PRACTICUM,1.00,20,14,Jas Gaurav Singh,M,02:50 PM - 05:50 PM,BP220,MSIT ONLY; SOME ONLINE MEET'GS WITH FACULTY,N
33929,MSPM 3460,1,AGILE PROJECT DELIVERY,1.00,30,19,Jeremy Kauffman,M,02:50 PM - 05:50 PM,JC215,,N
34168,MSPM 3480,1,OPERATIONS MGMT WITH LEAN,1.00,30,13,Brian LeBlanc,W,06:00 PM - 09:00 PM,OFFCAM,IT WORKFORCE LEADERSHIP ONLY,N
32631,MSPM 3580,1,PROJ MGMT RISK/QUALITY/CHANGE,1.00,30,9,Brian LeBlanc,M,06:30 PM - 09:30 PM,JC118,P=MSPM 3460 & 3840 & 3850,N
32647,MSPM 3680,1,PROGRAM & PORTFOLIO MGMT,1.00,30,6,Jeremy Kauffman,M,06:30 PM - 09:30 PM,ASEC304,P=MSPM 3460 & 3840 & 3850; SOME ONLINE MEET'GS,N
33930,MSPM 3770,1,"PROJ/PORTFOLIO ECON, FIN/PROCU",1.00,30,9,Lilo Altali,T,06:30 PM - 09:30 PM,BP326,P=MSPM 3460 & 3840 & 3850,N
31926,MSPM 3790,1,MANAGING TROUBLED PROJECTS,1.00,30,2,Jeremy Kauffman,T,06:30 PM - 09:30 PM,JC215,P=MSPM 3460 & 3840 & 3850; SOME ONLINE MEET'GS,N
33931,MSPM 3840,1,PROJECT MGMT FUNDAMENTALS,1.00,30,32,Joshua Moretti,R,06:30 PM - 09:30 PM,JC218,,N
33932,MSPM 3850,1,PROJ LEADERSIP & ORGANIZATION,1.00,30,16,Paul Ledoux,T,06:30 PM - 09:30 PM,S210,,N
33933,MSPM 3851,1,PROJ COMM & STAKEHOLDER MGMT,1.00,30,8,Laura Twohig,M,02:50 PM - 05:50 PM,JC102,P=MSPM 3460 & 3840 & 3850;SOME ONLINE MEET'GS,N